# Time-averaged data for fix rdf_fix
# TimeStep Number-of-rows
# Row c_rdfOO[1] c_rdfOO[2] c_rdfOO[3] c_rdfOH[1] c_rdfOH[2] c_rdfOH[3]
10000 100
88 10.7706 1.12418 111.51 10.7706 1.1092 222.513
89 10.8936 1.09764 114.95 10.8936 1.10053 229.418
90 11.0167 1.08386 118.424 11.0167 1.11753 236.589
91 11.1398 1.11374 122.074 11.1398 1.10684 243.851
92 11.2629 1.06804 125.652 11.2629 1.10395 251.255
93 11.386 1.08246 129.358 11.386 1.11347 258.887
94 11.5091 1.10174 133.212 11.5091 1.08707 266.5
95 11.6322 1.09254 137.116 11.6322 1.08613 274.27
96 11.7553 1.12951 141.238 11.7553 1.0802 282.162
97 11.8784 1.05309 145.162 11.8784 1.08179 290.232
98 12.0015 1.06998 149.232 12.0015 1.08322 298.481
99 12.1246 1.12615 153.604 12.1246 1.08373 306.904
100 12.2477 1.04961 157.762 12.2477 1.06874 315.38
10400 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.0552752 0.007
14 1.66174 0 0 1.66174 1.3744 0.21
15 1.78483 0 0 1.78483 3.45107 0.798
16 1.90793 0 0 1.90793 2.61963 1.308
17 2.03102 0 0 2.03102 1.2919 1.593
18 2.15411 0 0 2.15411 0.548061 1.729
19 2.2772 0 0 2.2772 0.223577 1.791
20 2.40029 0 0 2.40029 0.201239 1.853
21 2.52339 0.411579 0.07 2.52339 0.167404 1.91
22 2.64648 4.3406 0.882 2.64648 0.371145 2.049
23 2.76957 6.63821 2.242 2.76957 0.76068 2.361
24 2.89266 3.83915 3.1 2.89266 1.49747 3.031
25 3.01575 1.64671 3.5 3.01575 2.36477 4.181
26 3.13885 0.74485 3.696 3.13885 2.77521 5.643
27 3.26194 0.928986 3.96 3.26194 2.60137 7.123
28 3.38503 0.7777 4.198 3.38503 2.26874 8.513
29 3.50812 1.10134 4.56 3.50812 1.93758 9.788
30 3.63121 1.14153 4.962 3.63121 1.65385 10.954
31 3.75431 1.29637 5.45 3.75431 1.55117 12.123
32 3.8774 1.51424 6.058 3.8774 1.40823 13.255
33 4.00049 1.6237 6.752 4.00049 1.43977 14.487
34 4.12358 1.71319 7.53 4.12358 1.4299 15.787
35 4.24667 1.7482 8.372 4.24667 1.50896 17.242
36 4.36977 1.79622 9.288 4.36977 1.4418 18.714
37 4.49286 1.82529 10.272 4.49286 1.41392 20.24
38 4.61595 1.59217 11.178 4.61595 1.42291 21.861
39 4.73904 1.59723 12.136 4.73904 1.42575 23.573
40 4.86213 1.6441 13.174 4.86213 1.43359 25.385
41 4.98523 1.4916 14.164 4.98523 1.47731 27.348
42 5.10832 1.41197 15.148 5.10832 1.4722 29.402
43 5.23141 1.31895 16.112 5.23141 1.40237 31.454
44 5.3545 1.21199 17.04 5.3545 1.48999 33.738
45 5.47759 1.26047 18.05 5.47759 1.3658 35.929
46 5.60069 1.19135 19.048 5.60069 1.35294 38.198
47 5.72378 1.13152 20.038 5.72378 1.32792 40.524
48 5.84687 1.13914 21.078 5.84687 1.32512 42.946
49 5.96996 1.20192 22.222 5.96996 1.24428 45.317
50 6.09305 1.25471 23.466 6.09305 1.2333 47.765
51 6.21615 1.3877 24.898 6.21615 1.22754 50.301
52 6.33924 1.28774 26.28 6.33924 1.25946 53.007
53 6.46233 1.36827 27.806 6.46233 1.2818 55.869
54 6.58542 1.42812 29.46 6.58542 1.28264 58.843
55 6.70851 1.41114 31.156 6.70851 1.27091 61.901
56 6.83161 1.35433 32.844 6.83161 1.30889 65.167
57 6.9547 1.34862 34.586 6.9547 1.2796 68.476
58 7.07779 1.29614 36.32 7.07779 1.30343 71.967
59 7.20088 1.23921 38.036 7.20088 1.29857 75.567
60 7.32397 1.25375 39.832 7.32397 1.28074 79.24
61 7.44707 1.21535 41.632 7.44707 1.25663 82.966
62 7.57016 1.17615 43.432 7.57016 1.25559 86.813
63 7.69325 1.20587 45.338 7.69325 1.27862 90.859
64 7.81634 1.19026 47.28 7.81634 1.20529 94.796
65 7.93943 1.22492 49.342 7.93943 1.19165 98.812
66 8.06253 1.24772 51.508 8.06253 1.19669 102.971
67 8.18562 1.15347 53.572 8.18562 1.16013 107.127
68 8.30871 1.22369 55.828 8.30871 1.20079 111.559
69 8.4318 1.19349 58.094 8.4318 1.16283 115.979
70 8.55489 1.15326 60.348 8.55489 1.17664 120.583
71 8.67799 1.19038 62.742 8.67799 1.16833 125.287
72 8.80108 1.13508 65.09 8.80108 1.17838 130.167
73 8.92417 1.15289 67.542 8.92417 1.17592 135.174
74 9.04726 1.20682 70.18 9.04726 1.16288 140.263
75 9.17035 1.17019 72.808 9.17035 1.14744 145.422
76 9.29345 1.19576 75.566 9.29345 1.16143 150.785
